id,name
0,a normal surveillance video of ordinary daily activity with no crime
1,a person abusing and hurting a weaker victim such as a child or an animal
2,police officers arresting a suspect and putting handcuffs on him
3,a fire deliberately started by a person setting an object or building on fire
4,one person suddenly attacking and striking another person
5,a burglar breaking into a house or shop through a door or window
6,a large explosion with a blast fireball and flying debris
7,a group of people brawling and punching each other in a fight
8,a traffic accident where vehicles crash and collide on a road
9,an armed robbery where a person is threatened and forced to hand over money
10,a person firing a gun and shooting at people
11,a customer secretly hiding store goods from a shelf under clothing
12,a thief taking an unattended object or vehicle and carrying it away
13,a person vandalizing and smashing property destroying objects
